PC1,PC2,PC3,PC4
-1.2757535924582317,-0.0675103440077002,0.042704968794573,0.345933359370996
-0.863413375523795,-0.17534144804120028,-0.4177943655982392,0.1182755716235234
-1.3781699787791937,-0.09902287550009917,-0.1485546467165707,-0.3737774778493322
-1.9218126022913122,-0.015670932167667923,-0.024656125173488617,0.41191709572854734
-1.8167144758605975,0.16124078454352,0.7869954629698765,0.5700752217609516
-1.170314043130311,-0.17179509403041754,-0.3391200334307632,0.08756498672847766
-0.739810042913884,0.1338165941395066,0.46722786989766835,1.3622635425478318
-0.5099278940123322,18.016829929664265,-2.9958014390266756,-0.35138740742583985
-1.2349431773205015,-0.1792641470157052,-0.20857177143864725,-0.5703144007224424
-1.9199103947629448,0.22529088301883882,0.9538358324287151,0.8890581456547236
-1.854446368354302,-1.0094657508142941,0.7878119946241314,1.9160597763099863
-1.3496556975670344,-0.18867578392675557,-0.5911273065813563,0.3899215067414597
-1.6363236874142106,-0.008166888384899916,0.07879489812019898,0.15518518055976568
-0.8152932454686712,0.29746806838708195,1.2440139760043658,1.0604222225210282
-2.036952288802677,-0.18624293431695768,-0.6317109624406477,0.3683142875179084
-0.8959443200195935,0.4071483889162889,1.9203958169625421,0.5683967082606168
-1.5957179368631857,-0.17599664940399873,-0.2794458644728048,0.07892490707718153
-1.5443384373098847,-0.10194262918198095,-0.12383385010070755,0.3470842543471377
-1.6959288753808286,-0.03301660241937046,-0.12022389896462964,0.8045809560706151
-1.0549161552414212,-0.1176865185288782,-0.2769493151457916,0.5164014949895639
-0.8865392781653197,-0.22940555389259432,-0.5680481058139728,0.15474134162147196
-1.6828921593144182,-0.08111993875662707,-0.3015326939636911,0.8120566951093579
-1.2559070980226472,-0.05868222297770393,0.15207821180405331,-0.012126504686681751
-1.3732888419260976,-0.13887193222895655,-0.16269610785819166,-0.45699648808738697
-1.8647483747288633,-0.16516387128571253,-0.17064974617224934,-0.11171168944491355
-1.017360004520706,-0.01671196627803533,0.29263790302656606,0.4280371304641446
-1.134060754134113,-0.3101055530510252,-0.7279080047174967,-0.5216647411387791
-1.2008607139052265,-0.162229169268283,-0.3860424657337111,0.5723668706919678
-1.3711899424882823,-0.1554389980819291,-0.30497700624211055,-0.28000225404372736
-1.0157996073984212,0.00146067015928639,0.3295652933645143,0.3396406653162666
-1.4719547000931164,-0.26009353644718114,-0.9628108265104194,-0.08763523005531756
-1.5467025648236643,0.2632509856402586,1.0059416725375825,1.1378340843047878
-1.4730558996986456,0.10836375876082235,0.5231337743627331,0.7948839189475029
-1.0634021793713304,-0.05512301226878971,0.2930008148769556,-0.19133848160593406
-1.950696700930753,-0.054773542750438234,0.07272454104066862,0.1827908627870555
-0.5716658402813273,0.048880991168884086,0.346612535060172,1.1910601988237237
-1.8583390112408453,-0.2126415093359784,-0.5669977673155733,-0.07982689040683993
-0.8985904651041273,-0.011490993139204597,0.11525208685280124,0.25757541193809896
-2.0776432559770144,-0.15645270843526857,-0.435643673454837,0.012489117795599785
-0.4759071946442814,0.20875037046379905,1.0256595763871463,0.6255907570795682
-1.649031953667655,-0.31714535392289794,-0.9534450480397577,-0.4690909730905396
-0.5567070215780451,0.033769319876158714,0.19892498445078283,1.1091916343980313
-1.4066694671283688,-0.020138706932430972,0.3534047641837716,-0.10821696408098264
-1.640636495151832,-0.18374526868643304,-0.6433299028284354,0.23267020568850424
-1.2480750027765786,0.3037865069900909,1.3923659890277018,0.8430489937465567
-1.172924344916189,-0.16002067879116866,-0.31473562463806243,-0.11978206075109972
-0.7738669793951788,0.027101622137427204,0.2702979010412283,0.7952727808278519
-1.745286684881103,-0.19943309619136196,-0.7541245044595992,0.3339239810311842
-0.9292687891083851,0.14932021542051307,0.6834378984534106,0.47281239990612955
-2.295830074446623,-0.22967395260255596,-0.7743128058462804,-0.095322905980043
-1.0494793823580317,-0.007729334243763975,0.246354514311151,0.045816148488811055
-1.1443812860288987,-0.1873659358093963,-0.45478481924685443,-0.04791630906800404
-1.1023677012569808,0.01382704808674582,0.2418911067608959,0.25607311320993825
-1.7476952242376382,-0.3798539913288439,-1.1342742230002831,-0.6121080425105354
-1.532896911011423,-0.0011720749174032926,0.02108156800859674,0.5664008082897329
-1.6630930474636796,-0.3287749601637275,-1.0852251170615497,-0.19661971506230666
-1.1237206713507966,0.3070982821081034,1.259858394281296,1.1601736991355482
-1.123641122642405,-0.26224733751406387,-0.7991282656680093,0.051438977143230716
-0.6948107460284135,-0.029988430514684628,0.08556625190574518,0.33291787793869887
-1.8845684351767364,-0.3181732934061056,-0.9536914476337723,-0.5131094681717787
-0.6731366312909524,-0.04884164679306832,0.055138205992512984,0.15256312666209718
-1.343122024944079,-0.3561681543642062,-1.3711107677806833,-0.11636779476683025
-0.8825341152427892,0.051957440642048845,0.44241202320376644,0.5420641689249358
-1.6470259635313462,-0.34423778077814277,-1.191852594897644,-0.36569994674018014
-0.599752711319037,0.151718279147232,0.6567781170330698,0.8511971925785606
-2.0589726530476247,-0.09950280765396423,-0.4809514348277864,0.8237309603201464
-1.014157805699557,-0.047271389153638155,-0.002489292506132197,0.37013936271074177
-1.004679225743605,-0.1721867933191098,-0.5130585301333496,-0.16478861539014675
-0.29853121338254385,0.14110048376616535,0.8821353888565178,0.07515227507957557
-1.388311091714734,-0.21868973395386013,-0.833619157805484,0.4463654163975687
-0.42999628987794364,0.05076236591723335,0.4042597896769778,0.4016144932208687
-0.64575838125507,-0.2032600011803953,-0.507953428471438,-0.22605963579070998
-1.5296847804988338,-0.004449082391126429,0.11376711232004393,0.8038637096260878
-1.0826088718063025,-0.37356568148130215,-1.30943340627552,-0.0154781092049755
-0.8585737094310113,0.08773552186587573,0.5392522606929653,0.3452574431397826
-1.8131928490285492,-0.2970098931093861,-1.089835913443365,0.014509161517478613
0.1745346620135104,-0.011513762225820859,0.10181613166568394,0.6525248703802791
-1.5110459994730163,-0.0695840220932911,-0.18524862067822728,0.6523845945212244
-1.5046680358184301,0.01347843324589997,-0.10183455329158185,1.2960467017989625
-1.5604876964727303,-0.17591642396550636,-0.5471204349256386,-0.01100771033299865
-1.6123674767942218,0.17031129628617414,0.8806248045569455,0.21897515404539222
-1.7299860557717404,0.00824441126509802,0.03975251219526792,0.8175929316795477
-1.6832316260330806,-0.09742016500698607,-0.26690533751990847,0.31414358991215013
-1.322784267178551,0.013398753108036848,0.15793605804888386,0.7024132453309325
-1.443189840068718,-0.035642622814477685,0.03968267598416411,0.24112694325291256
